Event;Gender;Date;Time;Athlete;Country;Meet;City;Nation
50m freestyle;Women;23/08/1986;25.28;COSTACHE, Tamara;ROU;World Championships;Madrid;ESP
50m freestyle;Women;11/04/1988;24.98;YANG, Wenyi;CHN;Asian Swimming Championships;Guangzhou;CHN
50m freestyle;Women;31/07/1992;24.79;YANG, Wenyi;CHN;Olympic Games;Barcelona;ESP
50m freestyle;Women;11/09/1994;24.51;LE, Jingyi;CHN;World Championships;Roma, Lazio;ITA
50m freestyle;Women;26/05/2000;24.51;DE BRUIJN, Inge;NED;Super Speedo Grand Prix;Sheffield, South Yorkshire, England;GBR
50m freestyle;Women;04/06/2000;24.48;DE BRUIJN, Inge;NED;Netherlands Olympic Trials;Drachten;NED
50m freestyle;Women;10/06/2000;24.39;DE BRUIJN, Inge;NED;Trofeu Jose Finkel & BRA Olympic Trials;Rio de Janeiro;BRA
50m freestyle;Women;22/09/2000;24.13;DE BRUIJN, Inge;NED;Olympic Games;Sydney, New South Wales;AUS
50m freestyle;Women;24/03/2008;24.09;VELDHUIS, Marleen;NED;European Championships;Eindhoven;NED
50m freestyle;Women;29/03/2008;23.97;LENTON, Libby;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
50m freestyle;Women;19/04/2009;23.96;VELDHUIS, Marleen;NED;Amsterdam Swim Cup;Amsterdam;NED
50m freestyle;Women;02/08/2009;23.73;STEFFEN, Britta;GER;World Championships;Roma, Lazio;ITA
50m freestyle;Women;29/07/2017;23.67;SJOSTROM, Sarah;SWE;World Championships;Budapest;HUN
50m freestyle;Women;30/07/2023;23.61;SJOSTROM, Sarah;SWE;World Championships;Fukuoka, Fukuoka;JPN
100m freestyle;Women;18/10/1908;1:35.0;GERSTUNG, Martha;GER;;Magdeburg, Magdeburg;GER
100m freestyle;Women;02/10/1910;1:26.6;GUTTENSTEIN, Claire;BEL;;Schaerbeek;BEL
100m freestyle;Women;29/09/1911;1:24.6;CURWEN, Daisy;GBR;;Liverpool;GBR
100m freestyle;Women;10/06/1912;1:20.6;CURWEN, Daisy;GBR;;Birkenhead;GBR
100m freestyle;Women;09/07/1912;1:19.8;DURACK, Fanny;AUS;Olympic Games;Stockholm;SWE
100m freestyle;Women;21/07/1912;1:18.8;DURACK, Fanny;AUS;;Hamburg;GER
100m freestyle;Women;06/02/1915;1:16.2;DURACK, Fanny;AUS;New South Wales State Championships;Sydney, New South Wales;AUS
100m freestyle;Women;23/08/1920;1:14.4;BLEIBTREY, Ethelda;USA;Olympic Games;Antwerpen;BEL
100m freestyle;Women;25/08/1920;1:13.6;BLEIBTREY, Ethelda;USA;Olympic Games;Antwerpen;BEL
100m freestyle;Women;30/06/1923;1:12.8;EDERLE, Gertrude;USA;;Newark, New Jersey;USA
100m freestyle;Women;19/07/1924;1:12.2;WEHSELAU, Mariechen;USA;Olympic Games;Paris;FRA
100m freestyle;Women;28/01/1926;1:10.0;LACKIE, Ethel;USA;;Toledo, Ohio;USA
100m freestyle;Women;07/08/1929;1:09.8;GARATTI, Eleanor;USA;AAU Women's Championships;Honolulu, Hawaii;USA
100m freestyle;Women;25/08/1929;1:09.4;OSIPOWICH, Albina;USA;;San Francisco, California;USA
100m freestyle;Women;14/03/1930;1:08.0;MADISON, Helene;USA;AAU Women's Indoor Championships;Miami, Florida;USA
100m freestyle;Women;20/04/1931;1:06.6;MADISON, Helene;USA;;Boston, Massachusetts;USA
100m freestyle;Women;09/07/1933;1:06.0;DEN OUDEN, Willy;NED;;Antwerpen;BEL
100m freestyle;Women;24/02/1934;1:05.4;DEN OUDEN, Willy;NED;;Amsterdam;NED
100m freestyle;Women;15/04/1934;1:04.8;DEN OUDEN, Willy;NED;;Rotterdam, South Holland;NED
100m freestyle;Women;27/02/1936;1:04.6;DEN OUDEN, Willy;NED;;Amsterdam;NED
100m freestyle;Women;21/02/1956;1:04.5;FRASER, Dawn;AUS;Australian Championships;Sydney, New South Wales;AUS
100m freestyle;Women;03/03/1956;1:04.2;GASTELAARS, Cocky;NED;;Amsterdam;NED
100m freestyle;Women;14/04/1956;1:04.0;GASTELAARS, Cocky;NED;;Schiedam;NED
100m freestyle;Women;25/08/1956;1:03.3;FRASER, Dawn;AUS;Australian Olympic Squad Swimming Carnival;Townsville, Queensland;AUS
100m freestyle;Women;20/10/1956;1:03.2;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS
100m freestyle;Women;25/10/1956;1:02.4;CRAPP, Lorraine;AUS;Australian Olympic Trials;Melbourne, Victoria;AUS
100m freestyle;Women;01/12/1956;1:02.0;FRASER, Dawn;AUS;Olympic Games;Melbourne, Victoria;AUS
100m freestyle;Women;18/02/1958;1:01.5;FRASER, Dawn;AUS;Australian Championships;Melbourne, Victoria;AUS
100m freestyle;Women;21/07/1958;1:01.4;FRASER, Dawn;AUS;British Empire & Commonwealth Games;Cardiff, Glamorgan, Wales;GBR
100m freestyle;Women;10/08/1958;1:01.2;FRASER, Dawn;AUS;;Schiedam;NED
100m freestyle;Women;23/02/1960;1:00.2;FRASER, Dawn;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
100m freestyle;Women;23/10/1962;1:00.0;FRASER, Dawn;AUS;Australian British Empire & Commonwealth Games Trials;Melbourne, Victoria;AUS
100m freestyle;Women;27/10/1962;59.9;FRASER, Dawn;AUS;Australian British Empire & Commonwealth Games Trials;Melbourne, Victoria;AUS
100m freestyle;Women;24/11/1962;59.5;FRASER, Dawn;AUS;British Empire & Commonwealth Games;Perth, Western Australia;AUS
100m freestyle;Women;29/02/1964;58.9;FRASER, Dawn;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
100m freestyle;Women;30/04/1971;58.9;GOULD, Shane;AUS;Coca Cola International;London, Greater London, England;GBR
100m freestyle;Women;08/01/1972;58.5;GOULD, Shane;AUS;New South Wales State Championships;Sydney, New South Wales;AUS
100m freestyle;Women;13/07/1973;58.25;ENDER, Kornelia;GDR;GDR Nationals & World Championship Trials;Berlin;GDR
100m freestyle;Women;18/08/1973;58.12;ENDER, Kornelia;GDR;;Utrecht;NED
100m freestyle;Women;08/09/1973;57.61;ENDER, Kornelia;GDR;World Championships;Beograd (Belgrade);YUG
100m freestyle;Women;09/09/1973;57.542;ENDER, Kornelia;GDR;World Championships;Beograd (Belgrade);YUG
100m freestyle;Women;19/08/1974;56.96;ENDER, Kornelia;GDR;European Championships;Wien (Vienna);AUT
100m freestyle;Women;14/03/1975;56.38;ENDER, Kornelia;GDR;URS v GDR Dual Meet;Dresden, Dresden;GDR
100m freestyle;Women;26/07/1975;56.22;ENDER, Kornelia;GDR;World Championships;Cali;COL
100m freestyle;Women;01/06/1976;55.73;ENDER, Kornelia;GDR;GDR Olympic Trials;Berlin;GDR
100m freestyle;Women;19/07/1976;55.65;ENDER, Kornelia;GDR;Olympic Games;Montréal, Québec;CAN
100m freestyle;Women;05/07/1978;55.41;KRAUSE, Barbara;GDR;GDR Nationals & World Championship Trials;Berlin;GDR
100m freestyle;Women;20/07/1980;54.98;KRAUSE, Barbara;GDR;Olympic Games;Moskva (Moscow);URS
100m freestyle;Women;21/07/1980;54.79;KRAUSE, Barbara;GDR;Olympic Games;Moskva (Moscow);URS
100m freestyle;Women;19/08/1986;54.73;OTTO, Kristin;GDR;World Championships;Madrid;ESP
100m freestyle;Women;01/03/1992;54.48;THOMPSON, Jenny;USA;USA Olympic Trials;Indianapolis, Indiana;USA
100m freestyle;Women;05/09/1994;54.01;LE, Jingyi;CHN;World Championships;Roma, Lazio;ITA
100m freestyle;Women;28/05/2000;53.80;DE BRUIJN, Inge;NED;Super Speedo Grand Prix;Sheffield, South Yorkshire, England;GBR
100m freestyle;Women;20/09/2000;53.77;DE BRUIJN, Inge;NED;Olympic Games;Sydney, New South Wales;AUS
100m freestyle;Women;31/03/2004;53.66;LENTON, Libby;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
100m freestyle;Women;18/08/2004;53.52;HENRY, Jodie;AUS;Olympic Games;Athina;GRE
100m freestyle;Women;31/01/2006;53.42;LENTON, Libby;AUS;Australian Championships & Commonwealth Games Trials;Melbourne, Victoria;AUS
100m freestyle;Women;02/08/2006;53.30;STEFFEN, Britta;GER;European Championships;Budapest;HUN
100m freestyle;Women;27/03/2008;52.88;LENTON, Libby;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
100m freestyle;Women;25/06/2009;52.85;STEFFEN, Britta;GER;German Championships;Berlin;GER
100m freestyle;Women;27/06/2009;52.56;STEFFEN, Britta;GER;German Championships;Berlin;GER
100m freestyle;Women;26/07/2009;52.22;STEFFEN, Britta;GER;World Championships;Roma, Lazio;ITA
100m freestyle;Women;31/07/2009;52.07;STEFFEN, Britta;GER;World Championships;Roma, Lazio;ITA
100m freestyle;Women;02/07/2016;52.06;CAMPBELL, Cate;AUS;;Brisbane, Queensland;AUS
100m freestyle;Women;23/07/2017;51.71;SJOSTROM, Sarah;SWE;World Championships;Budapest;HUN
200m freestyle;Women;04/03/1915;2:56.0;DURACK, Fanny;AUS;;Sydney, New South Wales;AUS
200m freestyle;Women;25/08/1921;2:47.6;BOYLE, Charlotte;USA;;New Brighton, Minnesota;USA
200m freestyle;Women;04/04/1923;2:45.2;EDERLE, Gertrude;USA;;Brooklyn, New York;USA
200m freestyle;Women;28/02/1926;2:40.6;NORELIUS, Martha;USA;;Miami, Florida;USA
200m freestyle;Women;06/03/1930;2:34.6;MADISON, Helene;USA;;St. Augustine, Florida;USA
200m freestyle;Women;03/05/1933;2:28.6;DEN OUDEN, Willy;NED;;Rotterdam, South Holland;NED
200m freestyle;Women;05/05/1934;2:27.6;DEN OUDEN, Willy;NED;;Dundee;GBR
200m freestyle;Women;08/09/1935;2:25.3;DEN OUDEN, Willy;NED;;København (Copenhagen);DEN
200m freestyle;Women;26/02/1938;2:24.6;VAN VEEN, Rie;NED;;Rotterdam, South Holland;NED
200m freestyle;Women;11/09/1938;2:21.7;HVEGER ANDERSEN, Ragnhild;DEN;;Aarhus, Aarhus County;DEN
200m freestyle;Women;25/02/1956;2:20.7;FRASER, Dawn;AUS;Australian Championships;Sydney, New South Wales;AUS
200m freestyle;Women;25/08/1956;2:19.3;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Townsville, Queensland;AUS
200m freestyle;Women;20/10/1956;2:18.5;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS
200m freestyle;Women;10/02/1958;2:17.7;FRASER, Dawn;AUS;;Adelaide, South Australia;AUS
200m freestyle;Women;22/02/1958;2:14.7;FRASER, Dawn;AUS;Australian Championships;Melbourne, Victoria;AUS
200m freestyle;Women;27/02/1960;2:11.6;FRASER, Dawn;AUS;Australian Championships & Olympic Trials;Sydney, New South Wales;AUS
200m freestyle;Women;19/08/1966;2:10.5;WATSON, Lillian Debra;USA;AAU Championships;Lincoln, Nebraska;USA
200m freestyle;Women;19/08/1967;2:09.7;KRUSE, Pamela;USA;AAU Championships;Philadelphia, Pennsylvania;USA
200m freestyle;Women;06/07/1968;2:09.5;PEDERSEN, Susan;USA;Santa Clara Invitational;Santa Clara, California;USA
200m freestyle;Women;02/08/1968;2:08.8;WETZEL, Edith;USA;AAU Championships;Lincoln, Nebraska;USA
200m freestyle;Women;24/08/1968;2:07.9;GUSTAVSON, Linda;USA;USA Olympic Trials;Long Beach, California;USA
200m freestyle;Women;24/08/1968;2:06.86;MEYER, Debbie;USA;USA Olympic Trials;Long Beach, California;USA
200m freestyle;Women;01/05/1971;2:06.5;GOULD, Shane;AUS;Coca Cola International;London, Greater London, England;GBR
200m freestyle;Women;26/11/1971;2:05.8;GOULD, Shane;AUS;;Sydney, New South Wales;AUS
200m freestyle;Women;04/08/1972;2:05.21;BABASHOFF, Shirley;USA;USA Olympic Trials;Chicago, Illinois;USA
200m freestyle;Women;01/09/1972;2:03.56;GOULD, Shane;AUS;Olympic Games;München, Bavaria;FRG
200m freestyle;Women;22/08/1974;2:03.22;ENDER, Kornelia;GDR;European Championships;Wien (Vienna);AUT
200m freestyle;Women;23/08/1974;2:02.94;BABASHOFF, Shirley;USA;AAU Championships;Concord, California;USA
200m freestyle;Women;31/08/1974;2:02.94;BABASHOFF, Shirley;USA;USA v GDR Dual Meet;Concord, California;USA
200m freestyle;Women;15/03/1975;2:02.27;ENDER, Kornelia;GDR;URS v GDR Dual Meet;Dresden, Dresden;GDR
200m freestyle;Women;02/06/1976;1:59.78;ENDER, Kornelia;GDR;GDR Olympic Trials;Berlin;GDR
200m freestyle;Women;22/07/1976;1:59.26;ENDER, Kornelia;GDR;Olympic Games;Montréal, Québec;CAN
200m freestyle;Women;02/07/1978;1:59.04;KRAUSE, Barbara;GDR;GDR Nationals & World Championship Trials;Berlin;GDR
200m freestyle;Women;22/08/1978;1:58.53;WOODHEAD, Cynthia;USA;World Championships;Berlin;FRG
200m freestyle;Women;03/07/1979;1:58.43;WOODHEAD, Cynthia;USA;Pan American Games;San Juan;PUR
200m freestyle;Women;03/09/1979;1:58.23;WOODHEAD, Cynthia;USA;FINA World Cup;Tokyo;JPN
200m freestyle;Women;23/05/1984;1:57.75;OTTO, Kristin;GDR;GDR Nationals;Magdeburg, Magdeburg;GDR
200m freestyle;Women;18/06/1986;1:57.55;FRIEDRICH, Heike;GDR;GDR Nationals & World Championship Trials;Berlin;GDR
200m freestyle;Women;06/09/1994;1:56.78;VAN ALMSICK, Franziska;GER;World Championships;Roma, Lazio;ITA
200m freestyle;Women;03/08/2002;1:56.64;VAN ALMSICK, Franziska;GER;European Championships;Berlin;GER
200m freestyle;Women;27/03/2007;1:56.47;PELLEGRINI, Federica;ITA;World Championships;Melbourne, Victoria;AUS
200m freestyle;Women;28/03/2007;1:55.52;MANAUDOU, Laure;FRA;World Championships;Melbourne, Victoria;AUS
200m freestyle;Women;11/08/2008;1:55.45;PELLEGRINI, Federica;ITA;Olympic Games;Beijing;CHN
200m freestyle;Women;13/08/2008;1:54.82;PELLEGRINI, Federica;ITA;Olympic Games;Beijing;CHN
200m freestyle;Women;08/03/2009;1:54.47;PELLEGRINI, Federica;ITA;Italian Championships;Riccione;ITA
200m freestyle;Women;28/07/2009;1:53.67;PELLEGRINI, Federica;ITA;World Championships;Roma, Lazio;ITA
200m freestyle;Women;29/07/2009;1:52.98;PELLEGRINI, Federica;ITA;World Championships;Roma, Lazio;ITA
200m freestyle;Women;26/07/2023;1:52.85;O'CALLAGHAN, Mollie;AUS;World Championships;Fukuoka, Fukuoka;JPN
200m freestyle;Women;12/06/2024;1:52.23;TITMUS, Ariarne;AUS;Australian Olympic Trials;Brisbane, Queensland;AUS
400m freestyle;Women;16/08/1919;6:30.2;BLEIBTREY, Ethelda;USA;;New York, New York;USA
400m freestyle;Women;29/07/1921;6:16.6;JAMES, Hilda;GBR;;Leeds;GBR
400m freestyle;Women;04/08/1922;5:53.2;EDERLE, Gertrude;USA;;Indianapolis, Indiana;USA
400m freestyle;Women;23/01/1927;5:51.4;NORELIUS, Martha;USA;;Coral Gables, Florida;USA
400m freestyle;Women;30/06/1928;5:49.6;NORELIUS, Martha;USA;;New York, New York;USA
400m freestyle;Women;06/08/1928;5:42.8;NORELIUS, Martha;USA;Olympic Games;Amsterdam;NED
400m freestyle;Women;27/08/1928;5:39.2;NORELIUS, Martha;USA;;Wien (Vienna);AUT
400m freestyle;Women;03/02/1931;5:31.0;MADISON, Helene;USA;;Seattle, Washington;USA
400m freestyle;Women;13/08/1932;5:28.5;MADISON, Helene;USA;Olympic Games;Los Angeles, California;USA
400m freestyle;Women;12/07/1934;5:16.0;DEN OUDEN, Willy;NED;;Rotterdam, South Holland;NED
400m freestyle;Women;10/02/1937;5:14.2;HVEGER ANDERSEN, Ragnhild;DEN;;København (Copenhagen);DEN
400m freestyle;Women;03/10/1937;5:14.0;HVEGER ANDERSEN, Ragnhild;DEN;;Ghent;BEL
400m freestyle;Women;14/11/1937;5:12.4;HVEGER ANDERSEN, Ragnhild;DEN;;Magdeburg, Magdeburg;GER
400m freestyle;Women;12/12/1937;5:11.0;HVEGER ANDERSEN, Ragnhild;DEN;;København (Copenhagen);DEN
400m freestyle;Women;16/01/1938;5:08.2;HVEGER ANDERSEN, Ragnhild;DEN;;København (Copenhagen);DEN
400m freestyle;Women;01/08/1938;5:06.1;HVEGER ANDERSEN, Ragnhild;DEN;;København (Copenhagen);DEN
400m freestyle;Women;08/09/1940;5:05.4;HVEGER ANDERSEN, Ragnhild;DEN;;Svendborg;DEN
400m freestyle;Women;15/09/1940;5:00.1;HVEGER ANDERSEN, Ragnhild;DEN;;København (Copenhagen);DEN
400m freestyle;Women;25/08/1956;4:50.8;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Townsville, Queensland;AUS
400m freestyle;Women;20/10/1956;4:47.2;CRAPP, Lorraine;AUS;Australian Olympic Squad Swimming Carnival;Sydney, New South Wales;AUS
400m freestyle;Women;09/01/1960;4:45.4;KONRADS, Ilsa;AUS;;Sydney, New South Wales;AUS
400m freestyle;Women;05/08/1960;4:44.5;VON SALTZA, Chris;USA;USA Olympic Trials;Detroit, Michigan;USA
400m freestyle;Women;11/07/1964;4:42.0;RAMENOFSKY, Marilyn;USA;;Los Altos, California;USA
400m freestyle;Women;01/08/1964;4:41.7;RAMENOFSKY, Marilyn;USA;USA Summer Nationals;Los Altos, California;USA
400m freestyle;Women;31/08/1964;4:39.5;RAMENOFSKY, Marilyn;USA;;New York, New York;USA
400m freestyle;Women;14/08/1965;4:39.2;RANDALL, Martha;USA;AAU Championships;Maumee, Ohio;USA
400m freestyle;Women;26/08/1965;4:38.0;RANDALL, Martha;USA;;Monte Carlo;MON
400m freestyle;Women;30/06/1967;4:36.8;KRUSE, Pamela;USA;;Fort Lauderdale, Florida;USA
400m freestyle;Women;07/07/1967;4:36.4;KRUSE, Pamela;USA;Santa Clara Invitational;Santa Clara, California;USA
400m freestyle;Women;27/07/1967;4:32.6;MEYER, Debbie;USA;Pan American Games;Winnipeg, Manitoba;CAN
400m freestyle;Women;18/08/1967;4:29.0;MEYER, Debbie;USA;AAU Championships;Philadelphia, Pennsylvania;USA
400m freestyle;Women;01/08/1968;4:26.7;MEYER, Debbie;USA;AAU Championships;Lincoln, Nebraska;USA
400m freestyle;Women;25/08/1968;4:24.55;MEYER, Debbie;USA;USA Olympic Trials;Long Beach, California;USA
400m freestyle;Women;20/08/1970;4:24.24;MEYER, Debbie;USA;AAU Championships;Los Angeles, California;USA
400m freestyle;Women;30/04/1971;4:22.6;MORAS, Karen;AUS;Coca Cola International;London, Greater London, England;GBR
400m freestyle;Women;09/07/1971;4:21.2;GOULD, Shane;AUS;Santa Clara Invitational;Santa Clara, California;USA
400m freestyle;Women;30/08/1972;4:19.04;GOULD, Shane;AUS;Olympic Games;München, Bavaria;FRG
400m freestyle;Women;22/08/1973;4:18.07;ROTHHAMMER, Keena;USA;USA Nationals & World Championship Trials;Louisville, Kentucky;USA
400m freestyle;Women;28/06/1974;4:17.33;GREENWOOD, Heather;USA;Santa Clara Invitational;Santa Clara, California;USA
400m freestyle;Women;22/08/1974;4:15.77;BABASHOFF, Shirley;USA;USA Nationals;Concord, California;USA
400m freestyle;Women;20/06/1975;4:14.76;BABASHOFF, Shirley;USA;USA World Championship Trials;Long Beach, California;USA
400m freestyle;Women;03/06/1976;4:11.69;KRAUSE, Barbara;GDR;GDR Olympic Trials;Berlin;GDR
400m freestyle;Women;20/07/1976;4:09.89;THUMER, Petra;GDR;Olympic Games;Montréal, Québec;CAN
400m freestyle;Women;17/08/1977;4:08.91;THUMER, Petra;GDR;European Championships;Jönköping;SWE
400m freestyle;Women;02/08/1978;4:07.66;LINEHAN, Kim;USA;USA Summer Nationals;The Woodlands, Texas;USA
400m freestyle;Women;24/08/1978;4:06.28;WICKHAM, Tracey;AUS;World Championships;Berlin;FRG
400m freestyle;Women;20/12/1987;4:05.45;EVANS, Janet;USA;USA Open;Orlando, Florida;USA
400m freestyle;Women;22/09/1988;4:03.85;EVANS, Janet;USA;Olympic Games;Seoul;KOR
400m freestyle;Women;12/05/2006;4:03.03;MANAUDOU, Laure;FRA;French Championships;Tours;FRA
400m freestyle;Women;06/08/2006;4:02.13;MANAUDOU, Laure;FRA;European Championships;Budapest;HUN
400m freestyle;Women;24/03/2008;4:01.53;PELLEGRINI, Federica;ITA;European Championships;Eindhoven;NED
400m freestyle;Women;16/03/2009;4:00.66;JACKSON, Joanne;GBR;British Championships;Sheffield, South Yorkshire, England;GBR
400m freestyle;Women;27/06/2009;4:00.41;PELLEGRINI, Federica;ITA;Mediterranean Games;Pescara;ITA
400m freestyle;Women;26/07/2009;3:59.15;PELLEGRINI, Federica;ITA;World Championships;Roma, Lazio;ITA
400m freestyle;Women;09/08/2014;3:58.86;LEDECKY, Katie;USA;USA Nationals;Irvine, California;USA
400m freestyle;Women;23/08/2014;3:58.37;LEDECKY, Katie;USA;Pan Pacific Championships;Gold Coast;AUS
400m freestyle;Women;07/08/2016;3:56.46;LEDECKY, Katie;USA;Olympic Games;Rio de Janeiro;BRA
400m freestyle;Women;22/05/2022;3:56.40;TITMUS, Ariarne;AUS;Australian Championships;Adelaide, South Australia;AUS
400m freestyle;Women;28/03/2023;3:56.08;MCINTOSH, Summer;CAN;Canadian World Championship Trials;Toronto;CAN
400m freestyle;Women;23/07/2023;3:55.38;TITMUS, Ariarne;AUS;World Championships;Fukuoka, Fukuoka;JPN
800m freestyle;Women;17/08/1919;13:19.0;EDERLE, Gertrude;USA;;Indianapolis, Indiana;USA
800m freestyle;Women;06/08/1925;12:58.2;MCGARY, Ethel;USA;;Detroit, Michigan;USA
800m freestyle;Women;15/08/1925;12:56.0;MCGARY, Ethel;USA;;Indianapolis, Indiana;USA
800m freestyle;Women;07/08/1926;12:47.2;NORELIUS, Martha;USA;;Philadelphia, Pennsylvania;USA
800m freestyle;Women;31/07/1927;12:17.8;NORELIUS, Martha;USA;;Massapequa, New York;USA
800m freestyle;Women;10/08/1929;12:03.8;MCKIM, Josephine;USA;AAU Women's Championships;Honolulu, Hawaii;USA
800m freestyle;Women;06/07/1930;11:41.2;MADISON, Helene;USA;;Long Beach, California;USA
800m freestyle;Women;21/07/1935;11:34.4;KIGHT, Lenore;USA;;Manhattan Beach, California;USA
800m freestyle;Women;03/07/1936;11:11.7;HVEGER ANDERSEN, Ragnhild;DEN;;København (Copenhagen);DEN
800m freestyle;Women;13/08/1941;10:52.5;HVEGER ANDERSEN, Ragnhild;DEN;;København (Copenhagen);DEN
800m freestyle;Women;28/06/1953;10:42.4;GYENGE, Valeria;HUN;;Budapest;HUN
800m freestyle;Women;14/01/1956;10:30.9;CRAPP, Lorraine;AUS;;Sydney, New South Wales;AUS
800m freestyle;Women;16/02/1957;10:27.3;KOK, Mary;NED;;Durban;RSA
800m freestyle;Women;09/01/1958;10:17.7;KONRADS, Ilsa;AUS;;Sydney, New South Wales;AUS
800m freestyle;Women;20/02/1958;10:16.2;KONRADS, Ilsa;AUS;Australian Championships;Melbourne, Victoria;AUS
800m freestyle;Women;13/06/1958;10:11.8;KONRADS, Ilsa;AUS;;Townsville, Queensland;AUS
800m freestyle;Women;19/02/1959;10:11.4;KONRADS, Ilsa;AUS;;Hobart, Tasmania;AUS
800m freestyle;Women;17/08/1960;9:55.6;CEDERQVIST, Jane;SWE;;Uppsala;SWE
800m freestyle;Women;26/08/1962;9:51.6;HOUSE, Carolyn;USA;;Los Altos, California;USA
800m freestyle;Women;30/07/1964;9:47.3;CARETTO, Patricia;USA;USA Summer Nationals;Los Altos, California;USA
800m freestyle;Women;28/09/1964;9:36.9;FINNERAN, Sharon;USA;Pre-Olympic Meet;Los Angeles, California;USA
800m freestyle;Women;09/07/1967;9:35.8;MEYER, Debbie;USA;Santa Clara Invitational;Santa Clara, California;USA
800m freestyle;Women;29/07/1967;9:22.9;MEYER, Debbie;USA;Pan American Games;Winnipeg, Manitoba;CAN
800m freestyle;Women;21/07/1968;9:19.0;MEYER, Debbie;USA;;Los Angeles, California;USA
800m freestyle;Women;04/08/1968;9:17.8;MEYER, Debbie;USA;AAU Championships;Lincoln, Nebraska;USA
800m freestyle;Women;28/08/1968;9:10.36;MEYER, Debbie;USA;USA Olympic Trials;Long Beach, California;USA
800m freestyle;Women;01/03/1970;9:09.1;MORAS, Karen;AUS;Australia Championships;Sydney, New South Wales;AUS
800m freestyle;Women;18/07/1970;9:02.45;MORAS, Karen;AUS;Commonwealth Games;Edinburgh, Scotland;GBR
800m freestyle;Women;10/09/1971;8:59.37;SIMMONS, Ann;USA;USA v URS v GBR Tri-Meet;Minsk, Belorussia;URS
800m freestyle;Women;03/12/1971;8:58.1;GOULD, Shane;AUS;;Sydney, New South Wales;AUS
800m freestyle;Women;06/08/1972;8:53.83;HARSHBARGER, Jo;USA;USA Olympic Trials;Chicago, Illinois;USA
800m freestyle;Women;03/09/1972;8:53.68;ROTHHAMMER, Keena;USA;Olympic Games;München, Bavaria;FRG
800m freestyle;Women;09/09/1973;8:52.973;CALLIGARIS, Novella;ITA;World Championships;Beograd (Belgrade);YUG
800m freestyle;Women;05/01/1974;8:50.1;TURRALL, Jenny;AUS;New South Wales State Championships;Sydney, New South Wales;AUS
800m freestyle;Women;25/08/1974;8:47.66;HARSHBARGER, Jo;USA;AAU Championships;Concord, California;USA
800m freestyle;Women;31/08/1974;8:47.50;HARSHBARGER, Jo;USA;USA v GDR Dual Meet;Concord, California;USA
800m freestyle;Women;31/03/1975;8:43.48;TURRALL, Jenny;AUS;Coca Cola International;London, Greater London, England;GBR
800m freestyle;Women;04/06/1976;8:40.68;THUMER, Petra;GDR;GDR Olympic Trials;Berlin;GDR
800m freestyle;Women;21/06/1976;8:39.63;BABASHOFF, Shirley;USA;USA Olympic Trials;Long Beach, California;USA
800m freestyle;Women;25/07/1976;8:37.14;THUMER, Petra;GDR;Olympic Games;Montréal, Québec;CAN
800m freestyle;Women;09/07/1977;8:35.04;THUMER, Petra;GDR;GDR Nationals & European Championship Trials;Leipzig;GDR
800m freestyle;Women;06/01/1978;8:34.86;FORD, Michelle;AUS;KBI meet;Brisbane, Queensland;AUS
800m freestyle;Women;21/01/1978;8:31.30;FORD, Michelle;AUS;New South Wales State Championships;Sydney, New South Wales;AUS
800m freestyle;Women;21/02/1978;8:30.53;WICKHAM, Tracey;AUS;Australia Championships;Brisbane, Queensland;AUS
800m freestyle;Women;05/08/1978;8:24.62;WICKHAM, Tracey;AUS;Commonwealth Games;Edmonton, Alberta;CAN
800m freestyle;Women;27/07/1987;8:22.44;EVANS, Janet;USA;USA Nationals & Pan Pacific Trials;Clovis, California;USA
800m freestyle;Women;19/08/1987;8:19.53;MOHRING, Anke;GDR;European Championships;Strasbourg;FRA
800m freestyle;Women;22/03/1988;8:17.12;EVANS, Janet;USA;USA Spring Nationals;Orlando, Florida;USA
800m freestyle;Women;20/08/1989;8:16.22;EVANS, Janet;USA;Pan Pacific Championships;Tokyo;JPN
800m freestyle;Women;16/08/2008;8:14.10;ADLINGTON, Rebecca;GBR;Olympic Games;Beijing;CHN
800m freestyle;Women;03/08/2013;8:13.86;LEDECKY, Katie;USA;World Championships;Barcelona;ESP
800m freestyle;Women;22/06/2014;8:11.00;LEDECKY, Katie;USA;TWST Senior Invitational;The Woodlands, Texas;USA
800m freestyle;Women;08/08/2015;8:07.39;LEDECKY, Katie;USA;World Championships;Kazan;RUS
800m freestyle;Women;17/01/2016;8:06.68;LEDECKY, Katie;USA;Arena Pro Swim Series;Austin, Texas;USA
800m freestyle;Women;12/08/2016;8:04.79;LEDECKY, Katie;USA;Olympic Games;Rio de Janeiro;BRA
